ObjectID,LATITUDE,LONGITUDE,LOC_DOCK,NAV_UNIT_ID,NAV_UNIT_GUID,UNLOCODE,NAV_UNIT_NAME,FAC_TYPE,DATA_RECORD_STATUS,LOCATION_DESCRIPTION,STREET_ADDRESS,CITY_OR_TOWN,STATE,ZIPCODE,COUNTY_NAME,COUNTY_FIPS_CODE,CONGRESS,CONGRESS_FIPS,TOWS_LINK_NUM,TOWS_MILE,WTWY,WTWY_NAME,PORT,PORT_NAME,PSA,PSA_NAME,MILE,BANK,OPERATORS,OWNERS,PURPOSE,HIGHWAY_NOTE,RAILWAY_NOTE,COMMODITIES,CONSTRUCTION,MECHANICAL_HANDLING,REMARKS,VERTICAL_DATUM,DEPTH_MIN,DEPTH_MAX,BERTHING_LARGEST,BERTHING_TOTAL,DECK_HEIGHT_MIN,DECK_HEIGHT_MAX,PARENT_OR_CHILD,SERVICE_INITIATION_DATE,x,y
2033,60.239741,-166.882564,97650-200,0210,2346,MYU,MEKORYUK VILLAGE,Anchorage,Validated for TOWS,,,MEKORYUK,AK,99630,Bethel,50,112,00,8231,0,4966,"Nunavak Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated Metal Pr",,,,,,,,,,,,01-JAN-1990,-166.882564,60.239741
2034,61.515843,-166.102335,97670-200,01XD,2223,HPB,HOOPER BAY VILLAGE,Dock,Validated for TOWS,,,HOOPER BAY,AK,99604,Wade Hampton,270,112,00,8235,0,4962,"Hooper Bay, AK",4962.00,"Hooper Bay, AK",,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Other Chemicals and Related Products | Forest Products, Lumber, Logs, Woodchips | Sand, Gravel, Stone, Rock, Limestone, Soil, Dredged Mater",,,,,,,,,,,,01-JAN-1990,-166.102335,61.5158430000001
2035,60.239741,-166.882564,97650-600,01X3,2213,MYU,NASH HARBOR,Dock,Validated for TOWS,,,MEKORYUK,AK,99630,Bethel,50,112,00,8231,0,4966,"Nunavak Island, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-166.882564,60.239741
2036,61.846107,-165.585732,97675-200,01XG,2226,SXP,SCAMMON BAY VILLAGE,Dock,Validated for TOWS,,,SHELDON POINT,AK,99666,,158,116,00,8238,0,4961,"Scammon Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated Metal Pr",,,,,,,,,,,,01-JAN-1990,-165.585732,61.8461070000001
2037,60.551428,-165.273993,97660-200,01X6,2216,OOK,TUNUNAK VILLAGE,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | Other Agricultural Products; Food and Kindred Products | All Manufactured Equi",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
2038,60.551428,-165.273993,97660-300,01X7,2217,OOK,TOKSOOK VILLAGE,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated Metal Pr",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
2039,60.551428,-165.273993,97660-400,01X8,2218,OOK,NIGHTMUTE VILLAGE,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Forest Products, Lumber, Logs, Woodchips | Building Cement & Concrete; Lime; Glass | Primary Non-Ferrous Metal Products;Fabricated Metal Prods. | All Manufactured E",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
2040,60.551428,-165.273993,97660-600,01XA,2220,OOK,NEWTOK VILLAGE,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
2041,60.551428,-165.273993,97660-700,01XB,2221,OOK,CHEFORNAK,Dock,Validated for TOWS,,,TOKSOOK BAY,AK,99637,Bethel,50,112,00,8233,0,4964,"Nelson Island and Baird Inlet, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Other Chemicals and Related Products | Other Agricultural Products; Food and Kindred Products",,,,,,,,,,,,01-JAN-1990,-165.273993,60.551428
2042,64.680343,-163.406649,97690-400,01Y0,2244,ELI,WHITE MOUNTAIN VILLAGE,Dock,Validated for TOWS,,,ELIM,AK,99739,Nome,180,113,00,8254,110,4888,"Norton Sound, AK",,,,,110,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Primary Non-Ferrous Metal Products;Fabricated Metal Prods.",,,,,,,,,,,,01-JAN-1990,-163.406649,64.6803430000001
2045,61.527779,-165.584705,97670-400,01XF,2225,HPB,CHEVAK,Dock,Validated for TOWS,,,HOOPER BAY,AK,99604,,158,116,00,8235,0,4962,"Hooper Bay, AK",,,,,0,,,,,,,"Gasoline, Jet Fuel, Kerosene | Distillate,Residual & Other Fuel Oils; Lube Oil & Greases | Petroleum Products NEC | Forest Products, Lumber, Logs, Woodchips | Iron Ore and Iron & Steel Waste & Scrap | Building Cement & Concrete; Lime; Glass | Primary Non-",,,,,,,,,,,,01-JAN-1990,-165.584705,61.5277790000001
2046,64.788,-161.666666,97690-600,01Y3,2247,ELI,KWIK VILLAGE,,Validated for TOWS,,,ELIM,AK,99739,Nome,180,113,00,8254,125,4888,"Norton Sound, AK",,,,,125,,,,,,,,,,,,,,,,,,,01-JAN-1990,-161.666666,64.7880000000001
