,X,Y,OBJECTID,TERM_ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,EXSTARS_I,OWNER,OPERATOR,POSREL,COMMODITY,CAPACITY,TRUCK_IN,TRUCK_OUT,PIPE_IN,PIPE_OUT,MARINE_IN,MARINE_OUT,RAIL_IN,RAIL_OUT,ASPHALT,CHEMICALS,PROPANE,BUTANE,REFINED,ETHANOL,BIODIESEL,CRUDE_OIL,JETFUEL,GASOLINE,DISTILLATE,AVGAS
10,-145.755336,60.554789,60,ANLTK02011,SHORESIDE PETROLEUM INCORPORATED - CORDOVA TERMINAL,100 OCEAN DOCK ROAD,CORDOVA,AK,99574,NOT AVAILABLE,(907) 424-3263,MARINE TERMINAL,IN SERVICE,-999,VALDEZ-CORDOVA,2261,USA,60.554789,-145.755336,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.shoresidepetroleum.com/,T-91-AK-4523,SHORESIDE PETROLEUM INC,NOT AVAILABLE,WITHIN 1 MILE,"REFINED, CHEMICALS",50000.0,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
11,-133.141362,55.488663,61,ANLTK02012,PETRO MARINE SERVICES,110 J T BROWN STREET,CRAIG,AK,99921,NOT AVAILABLE,(907) 826-3296,MARINE TERMINAL,IN SERVICE,-999,PRINCE OF WALES-HYDER,2198,USA,55.488663,-133.141362,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petromarineservices.com/,T-91-AK-4512,PETRO 49 INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",50000.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES
12,-145.768137,63.9310820000001,62,ANLTK02013,ALYESKA PIPELINE SERVICE COMPANY - STATION NO. 9,RICHARDSON HWY MP 258,DELTA JUNCTION,AK,99737,NOT AVAILABLE,(907) 869-3270,BREAKOUT TANKS - CRUDE,IN SERVICE,-999,SOUTHEAST FAIRBANKS,2240,USA,63.931082,-145.768137,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,NOTIONAL,"CRUDE, REFINED",103623.0,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,YES,NO,NO,YES,NO
13,-158.482630296,59.042150511,63,ANLTK02014,BRISTOL ALLIANCE FUELS LLC,106 N. PACIFIC CT.,DILLINGHAM,AK,99576,NOT AVAILABLE,(907) 842-1234,MARINE TERMINAL,IN SERVICE,-999,DILLINGHAM,2070,USA,59.042150511,-158.482630296,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,NOT AVAILABLE,T-92-AK-4577,BRISTOL ALLIANCE FUELS,NOT AVAILABLE,WITHIN 40 FEET,REFINED,70000.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
14,-158.466140844,59.039035004,64,ANLTK02015,BRISTOL ALLIANCE FUELS LLC DOWNTOWN DILLINGHAM TERMINAL,309 MAIN STREET,DILLINGHAM,AK,99576,NOT AVAILABLE,(907) 842-5441,MARINE TERMINAL,IN SERVICE,-999,DILLINGHAM,2070,USA,59.039035004,-158.466140844,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.deltawestern.com/,T-91-AK-4526,DELTA WESTERN INC,BRISTOL ALLIANCE FUELS LLC,WITHIN 1 MILE,REFINED,75000.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES
15,-166.536304,53.8910490000001,65,ANLTK02017,"DELTA WESTERN, INCORPORATED -DUTCH HARBOR",1577 EAST POINT LOOP ROAD,DUTCH HARBOR,AK,99692,NOT AVAILABLE,(907) 581-1295,MARINE TERMINAL,IN SERVICE,-999,ALEUTIANS WEST,2016,USA,53.891049,-166.536304,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/07/02 00:00:00+00,http://www.deltawestern.com/,T-91-AK-4528,DELTA WESTERN INC,NOT AVAILABLE,NOTIONAL,"REFINED, CHEMICALS",193127.86,NO,NO,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
16,-166.529907,53.902473,66,ANLTK02018,PETRO STAR INCORPORATED - NORTH PACIFIC FUEL BALLYHOO TANK FARM,748 BALLYHOO ROAD,DUTCH HARBOR,AK,99685,NOT AVAILABLE,(907) 581-1350,MARINE TERMINAL,IN SERVICE,-999,ALEUTIANS WEST,2016,USA,53.902473,-166.529907,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/09/27 00:00:00+00,http://www.petrostar.com,T-91-AK-4510,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,58224.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO
17,-147.05077,64.6584310000001,67,ANLTK02019,US DEPARTMENT OF THE AIR FORCE - EIELSON AIR FORCE BASE,"2258 CENTRAL AVE., SUITE 100",EIELSON AFB,AK,99702,NOT AVAILABLE,(907) 377-2244,AIRPORT TERMINAL,IN SERVICE,-999,FAIRBANKS NORTH STAR,2090,USA,64.658431,-147.05077,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/28 00:00:00+00,http://www.eielson.af.mil,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,198378.16,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,NO,YES,NO
18,-147.890657,64.808369,68,ANLTK02020,ANDEAVOR LOGISTICS LP,5500 AIRPORT WAY,FAIRBANKS,AK,99709,NOT AVAILABLE,(907) 257-3108,AIRPORT TERMINAL,IN SERVICE,-999,FAIRBANKS NORTH STAR,2090,USA,64.808369,-147.890657,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/26 00:00:00+00,http://www.fhr.com,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, ASPHALT, CHEMICALS",60000.0,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,YES,NOT AVAILABLE
19,-145.276227,66.5706170000001,69,ANLTK02021,CROWLEY FUELS LLC FORT YUKON FACILITY,FAA VORTAC ROAD,FT. YUKON,AK,99740,NOT AVAILABLE,(907) 662-2408,MARINE TERMINAL,IN SERVICE,-999,YUKON-KOYUKUK,2290,USA,66.570617,-145.276227,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/27 00:00:00+00,http://www.crowley.com/,T-91-AK-4540,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",16978.98,YES,YES,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,NO
20,-156.938064,64.7336770000001,70,ANLTK02022,"CROWLEY MARINE SERVICES, INCORPORATED",7TH AVENUE & H STREET,GALENA,AK,99741,NOT AVAILABLE,(907) 656-1852,MARINE TERMINAL,IN SERVICE,-999,YUKON-KOYUKUK,2290,USA,64.733677,-156.938064,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://www.crowley.com/,T-91-AK-4538,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 40 FEET,CHEMICALS,58571.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,YES
21,-148.278903,65.3113090000001,71,ANLTK02023,ALYESKA PIPELINE SERVICE COMPANY - STATION NO. 7,STATE HWY 2,GLEN ALLEN,AK,99790,NOT AVAILABLE,(907) 787-8946,BREAKOUT TANKS - CRUDE,IN SERVICE,-999,YUKON-KOYUKUK,2290,USA,65.311309,-148.278903,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,NOTIONAL,REFINED,106341.0,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO
22,-135.468656,59.280583,72,ANLTK02024,DELTA WESTERN - LUTAK,1180 LUTAK RD.,HAINES,AK,99827,NOT AVAILABLE,(907) 766-3190,MARINE TERMINAL,IN SERVICE,-999,HAINES,2100,USA,59.280583,-135.468656,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/25 00:00:00+00,NOT AVAILABLE,NONE,DELTA WESTERN INC,NOT AVAILABLE,WITHIN 40 FEET,REFINED,65000.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES
23,-151.411369,59.6018310000001,73,ANLTK02025,PETRO MARINE SERVICES,4755 HOMER SPIT ROAD,HOMER,AK,99603,NOT AVAILABLE,(907) 235-8818,MARINE TERMINAL,IN SERVICE,-999,KENAI PENINSULA,2122,USA,59.601831,-151.411369,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petromarineservices.com/,T-91-AK-4514,PETRO 49 INC,NOT AVAILABLE,WITHIN 1 MILE,"REFINED, CHEMICALS",38290.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO
24,-166.100955,61.5339540000001,74,ANLTK02026,CROWLEY PETROLEUM DISTRIBUTION,LAGOON RD.,HOOPER BAY,AK,99604,NOT AVAILABLE,(907) 758-4007,BULK TERMINAL,IN SERVICE,-999,KUSILVAK,2158,USA,61.533954,-166.100955,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,http://www.crowley.com/,T-91-AK-4535,NOT AVAILABLE,CROWLEY FUEL SERVICES,WITHIN 40 FEET,REFINED,9666.67,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,YES,YES
25,-134.391304,58.2888610000001,75,ANLTK02027,"DELTA WESTERN, INCORPORATED - SITE 2 6092",120 MT. ROBERTS STREET,JUNEAU,AK,99801,NOT AVAILABLE,(907) 586-2800,MARINE TERMINAL,IN SERVICE,-999,JUNEAU,2110,USA,58.288861,-134.391304,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.deltawestern.com/,T-91-AK-4524,DELTA WESTERN INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",100000.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,NO,YES,NOT AVAILABLE
26,-134.436139,58.299111,76,ANLTK02028,PETRO MARINE SERVICES,3560 NORTH DOUGLAS HIGHWAY,JUNEAU,AK,99801,NOT AVAILABLE,(907) 586-4400,MARINE TERMINAL,IN SERVICE,-999,JUNEAU,2110,USA,58.299111,-134.436139,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petromarineservices.com/,T-91-AK-4515,PETRO 49 INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",47451.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES
27,-134.393403,58.2897370000001,77,ANLTK02029,CROWLEY FUELS LLC,1076 JACOBSON DRIVE,JUNEAU,AK,99801,NOT AVAILABLE,(907) 586-1276,MARINE TERMINAL,IN SERVICE,-999,JUNEAU,2110,USA,58.289737,-134.393403,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/19 00:00:00+00,http://www.crowley.com/,T-91-AK-4575,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",59162.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES
28,-131.63333,55.3371290000001,78,ANLTK02030,CROWLEY FUELS LLC KETCHIKAN FACILITY,900 STEDMAN STREET,KETCHIKAN,AK,99901,NOT AVAILABLE,(907) 225-2163,MARINE TERMINAL,IN SERVICE,-999,KETCHIKAN GATEWAY,2130,USA,55.337129,-131.63333,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/27 00:00:00+00,http://www.crowley.com/,T-91-AK-4542,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,REFINED,23553.83,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,YES,YES,YES,YES
29,-131.699551,55.358328,79,ANLTK02031,CROWLEY FUELS LLC - TONGASS AVENUE MARINA,4161 TONGASS AVE.,KETCHIKAN,AK,99901,NOT AVAILABLE,(907) 225-1985,MARINE TERMINAL,IN SERVICE,-999,KETCHIKAN,2130,USA,55.358328,-131.699551,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,http://www.crowley.com/,NONE,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 1 MILE,NOT AVAILABLE,47500.0,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NOT AVAILABLE,NOT AVAILABLE,NO,NO,NO,NO,NOT AVAILABLE
30,-131.627709,55.3339560000001,80,ANLTK02032,PETRO MARINE SERVICES - KETCHIKAN TERMINAL NO. 1,1100 STEDMAN STREET,KETCHIKAN,AK,99901,NOT AVAILABLE,(907) 225-2106,MARINE TERMINAL,IN SERVICE,-999,KETCHIKAN GATEWAY,2130,USA,55.333956,-131.627709,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petromarineservices.com/,T-91-AK-4516,PETRO 49 INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",275343.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO
31,-152.424172784,57.785031341,81,ANLTK02033,PETRO STAR INC (DBA NORTH PACIFIC FUEL) - KODIAK,715 SHELIKOF ST.,KODIAK,AK,99615,NOT AVAILABLE,(907) 486-3245,MARINE TERMINAL,IN SERVICE,-999,KODIAK ISLAND,2150,USA,57.785031341,-152.424172784,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petrostar.com,T-91-AK-4506,PETRO STAR INCORPORATED,PETRO STAR INCORPORATED,WITHIN 40 FEET,"REFINED, CHEMICALS",53313.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NO,NO,NO,NO,YES,YES,NO
32,-152.401894,57.788392,82,ANLTK02034,PETRO MARINE SERVICES,104 E. MARINE WAY,KODIAK,AK,99615,NOT AVAILABLE,(907) 486-3421,MARINE TERMINAL,IN SERVICE,-999,KODIAK ISLAND,2150,USA,57.788392,-152.401894,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/18 00:00:00+00,http://www.petromarineservices.com/,T-91-AK-4517,PETRO 49 INC,NOT AVAILABLE,WITHIN 40 FEET,"REFINED, CHEMICALS",46692.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES
33,-162.581425,66.9034760000001,83,ANLTK02035,CROWLEY MARINE SERVICES INCORPORATED,940 3RD STREET,KOTZEBUE,AK,99752,NOT AVAILABLE,(907) 442-3211,MARINE TERMINAL,IN SERVICE,-999,NORTHWEST ARCTIC,2188,USA,66.903476,-162.581425,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2018/01/25 00:00:00+00,http://www.crowley.com/,T-91-AK-4546,CPD ALASKA LLC,NOT AVAILABLE,WITHIN 1 MILE,"REFINED, CHEMICALS",146000.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,NO,NO,YES,NOT AVAILABLE,NOT AVAILABLE,NO,YES,YES,YES,YES
34,-164.050232,67.5769690000001,84,ANLTK02036,RED DOG OPERATIONS,RED DOG MINE RD. NEAR THE CHUKCHI SEA,KOTZEBUE,AK,99752,NOT AVAILABLE,(907) 426-2170,MARINE TERMINAL,IN SERVICE,-999,NORTHWEST ARCTIC,2188,USA,67.576969,-164.050232,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/24 00:00:00+00,NOT AVAILABLE,T-91-AK-4576,NOT AVAILABLE,TECK RED DOG OPERATIONS,WITHIN 40 FEET,REFINED,348800.0,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO
35,-149.884698,70.2893270000001,85,ANLTK02037,CONOCOPHILLIPS KUPARUK CENTRAL PROCESSING FACILITY (CPF) 2,NORTHERN SLOPE WEST OF PRUDHOE BAY,KUPARUK,AK,99510,NOT AVAILABLE,NOT AVAILABLE,BREAKOUT TANKS - CRUDE,IN SERVICE,-999,NORTH SLOPE,2185,USA,70.289327,-149.884698,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/07/01 00:00:00+00,NOT AVAILABLE,NONE,NOT AVAILABLE,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,110000.0,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
36,-149.603226,70.325136,86,ANLTK02038,CONOCOPHILLIPS KUPARUK CENTRAL PROCESSING FACILITY (CPF) 1,NORTHERN SLOPE WEST OF PRUDHOE BAY,KUPARUK,AK,99510,NOT AVAILABLE,NOT AVAILABLE,REFINERY TERMINAL,IN SERVICE,-999,NORTH SLOPE,2185,USA,70.325136,-149.603226,424710,PETROLEUM BULK STATIONS AND TERMINALS,EIA,2015/07/27 00:00:00+00,OTHER,2019/06/26 00:00:00+00,http://alaska.conocophillips.com/,T-92-AK-4578,CONOCOPHILLIPS ALASKA,NOT AVAILABLE,WITHIN 40 FEET,CRUDE,110000.0,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO
